"","pC","pD","pM","rep","stability","oscilations","resilience"
"C178",0.02,0.26,0.72,19,TRUE,TRUE,0.198917343403165
"C179",0.01,0.3,0.69,20,TRUE,TRUE,0.207516967705363
"C180",0.01,0.21,0.78,2,TRUE,TRUE,0.206271468893316
"C181",0.01,0.35,0.64,4,TRUE,TRUE,0.201261624581408
"C182",0.01,0.22,0.77,13,TRUE,TRUE,0.196614898846834
"C183",0.01,0.18,0.81,5,TRUE,TRUE,0.196439945011508
"C186",0.01,0.8,0.19,5,TRUE,TRUE,0.318383520568525
"C187",0.01,0.76,0.23,12,TRUE,TRUE,0.248582933035529
"C188",0.03,0.66,0.31,19,TRUE,TRUE,0.265807456978529
"C189",0.01,0.48,0.51,19,TRUE,TRUE,0.237296004822093
"C190",0.01,0.64,0.35,20,TRUE,TRUE,0.222777502514381
"C191",0.01,0.47,0.52,1,TRUE,TRUE,0.208587570759025
"C192",0.01,0.45,0.54,4,TRUE,TRUE,0.218651325201235
"C193",0.01,0.39,0.6,7,TRUE,TRUE,0.237493177113457
"C194",0.01,0.47,0.52,14,TRUE,TRUE,0.220493522787317
"C195",0.01,0.44,0.55,10,TRUE,TRUE,0.244183941438146
"C196",0.01,0.4,0.59,19,TRUE,TRUE,0.204263876341478
"C197",0.01,0.34,0.65,12,TRUE,TRUE,0.200962700724402
"C198",0.01,0.36,0.63,4,TRUE,TRUE,0.206562097818251
"C199",0.01,0.38,0.61,7,TRUE,TRUE,0.209470315427863
"C200",0.02,0.32,0.66,13,TRUE,TRUE,0.195404385431421
"C201",0.02,0.31,0.67,17,TRUE,TRUE,0.233211269781562
"C202",0.01,0.37,0.62,10,TRUE,TRUE,0.220392675948337
"C203",0.01,0.4,0.59,13,TRUE,TRUE,0.216585625713801
"C204",0.01,0.28,0.71,3,TRUE,TRUE,0.243653342648096
"C209",0.01,0.91,0.08,18,FALSE,TRUE,0.411785365480773
"C210",0.01,0.68,0.31,2,FALSE,TRUE,0.277546816711953
"C211",0.01,0.67,0.32,9,TRUE,TRUE,0.252214968620376
"C212",0.01,0.78,0.21,11,TRUE,TRUE,0.334513267466811
"C213",0.02,0.71,0.27,13,FALSE,TRUE,0.228792321926277
"C214",0.01,0.66,0.33,14,TRUE,TRUE,0.264863454676541
"C215",0.01,0.75,0.24,20,TRUE,TRUE,0.248911481139518
"C216",0.01,0.64,0.35,15,TRUE,TRUE,0.240594877548365
"C217",0.01,0.56,0.43,3,TRUE,TRUE,0.208865390339713
"C218",0.01,0.56,0.43,8,TRUE,TRUE,0.263968031192825
"C219",0.01,0.55,0.44,13,TRUE,TRUE,0.21453975025906
"C220",0.01,0.53,0.46,4,TRUE,TRUE,0.222938592955843
"C221",0.01,0.41,0.58,5,TRUE,TRUE,0.219657278894841
"C222",0.01,0.47,0.52,11,TRUE,TRUE,0.220584693327695
"C223",0.01,0.53,0.46,18,TRUE,TRUE,0.228999540205092
"C224",0.01,0.41,0.58,4,TRUE,TRUE,0.208627725154491
"C225",0.01,0.42,0.57,5,TRUE,TRUE,0.202266340377822
"C226",0.0101010101010101,0.505050505050505,0.484848484848485,13,TRUE,TRUE,0.205451690879144
"C227",0.02,0.39,0.59,17,TRUE,TRUE,0.204653917842416
"C228",0.01,0.43,0.56,3,TRUE,TRUE,0.219144294818873
"C229",0.01,0.43,0.56,4,TRUE,TRUE,0.228248190738232
"C230",0.01,0.47,0.52,12,TRUE,TRUE,0.236871600522095
"C231",0.0202020202020202,0.434343434343434,0.545454545454545,12,TRUE,TRUE,0.211135535602271
"C232",0.0101010101010101,0.434343434343434,0.555555555555556,13,TRUE,TRUE,0.223718412346011
"C233",0.0101010101010101,0.353535353535354,0.636363636363636,11,TRUE,TRUE,0.284450306987196
"C234",0.01,0.37,0.62,13,TRUE,TRUE,0.190945356678467
"C235",0.01,0.39,0.6,18,TRUE,TRUE,0.202698653020157
"C236",0.01,0.84,0.15,9,TRUE,TRUE,0.254124541388671
"C237",0.0202020202020202,0.848484848484849,0.131313131313131,15,TRUE,TRUE,0.259837499376092
"C238",0.02,0.74,0.24,16,TRUE,TRUE,0.219718330108826
"C239",0.01,0.72,0.27,19,TRUE,TRUE,0.347881323153553
"C240",0.01,0.58,0.41,5,TRUE,TRUE,0.216959805119136
"C241",0.01,0.58,0.41,16,TRUE,TRUE,0.214179976720894
"C242",0.01,0.46,0.53,8,TRUE,TRUE,0.197574414824002
"C243",0.01,0.47,0.52,12,TRUE,TRUE,0.233216377019877
"C244",0.01,0.38,0.61,3,TRUE,TRUE,0.245008171620543
"C245",0.02,0.4,0.58,7,TRUE,TRUE,0.198259849068687
"C246",0.01,0.35,0.64,12,TRUE,TRUE,0.225520120920336
"C248",0.01,0.83,0.16,9,TRUE,TRUE,0.334457442485077
"C249",0.02,0.75,0.23,17,FALSE,TRUE,0.335220540707467
"C250",0.01,0.77,0.22,18,TRUE,TRUE,0.226861951446482
"C251",0.01,0.69,0.3,1,TRUE,TRUE,0.245912935982122
"C252",0.01,0.68,0.31,2,TRUE,TRUE,0.233320604965547
"C253",0.01,0.69,0.3,8,TRUE,TRUE,0.35481023366889
"C254",0.02,0.64,0.34,9,TRUE,TRUE,0.24951514784176
"C255",0.01,0.69,0.3,17,TRUE,TRUE,0.249014598049532
"C256",0.01,0.64,0.35,7,TRUE,TRUE,0.20892374098353
"C257",0.01,0.54,0.45,9,TRUE,TRUE,0.234956380172573
"C258",0.01,0.58,0.41,10,FALSE,TRUE,0.254150495753044
"C259",0.01,0.53,0.46,2,TRUE,TRUE,0.21141167713785
"C260",0.01,0.59,0.4,6,TRUE,TRUE,0.265574098950656
"C261",0.01,0.56,0.43,10,TRUE,TRUE,0.219884093942176
"C262",0.0101010101010101,0.404040404040404,0.585858585858586,1,TRUE,TRUE,0.218346460326161
"C263",0.01,0.46,0.53,1,TRUE,TRUE,0.225684461481794
"C264",0.01,0.44,0.55,3,TRUE,TRUE,0.206518892752839
"C265",0.01,0.47,0.52,17,TRUE,TRUE,0.200173374933084
"C266",0.01,0.45,0.54,2,TRUE,TRUE,0.198750273250829
"C267",0.01,0.85,0.14,15,TRUE,TRUE,0.239090342247733
"C268",0.01,0.73,0.26,11,TRUE,TRUE,0.300234193646156
"C269",0.01,0.65,0.34,18,TRUE,TRUE,0.217566610395013
"C270",0.01,0.62,0.37,9,TRUE,TRUE,0.225745315527409
"C271",0.01,0.6,0.39,20,TRUE,TRUE,0.259439403013013
"C272",0.01,0.49,0.5,3,TRUE,TRUE,0.203783315720076
"C273",0.01,0.56,0.43,5,TRUE,TRUE,0.187998237012372
"C274",0.01,0.49,0.5,13,TRUE,TRUE,0.223396888492838
"C275",0.01,0.52,0.47,17,TRUE,TRUE,0.188524228616503
"C276",0.01,0.92,0.07,5,FALSE,TRUE,0.266434463558808
"C277",0.01,0.8,0.19,5,TRUE,TRUE,0.272151491030509
"C278",0.0101010101010101,0.707070707070707,0.282828282828283,11,FALSE,TRUE,0.231555413777725
"C279",0.01,0.79,0.2,14,TRUE,TRUE,0.243238966399313
"C280",0.01,0.69,0.3,15,TRUE,TRUE,0.288607686266597
"C281",0.01,0.62,0.37,17,TRUE,TRUE,0.212796034539936
"C282",0.01,0.64,0.35,11,TRUE,TRUE,0.232509347216467
"C283",0.01,0.58,0.41,13,TRUE,TRUE,0.226931199541823
"C284",0.01,0.6,0.39,17,TRUE,TRUE,0.231471431222966
"C285",0.01,0.52,0.47,19,TRUE,TRUE,0.227345704153236
"C286",0.01,0.57,0.42,19,TRUE,TRUE,0.267255413344546
