"","sIntProp","nInt","rep","stability","oscilations","resilience"
"324",0,10,24,TRUE,TRUE,0.271845370766107
"325",0,10,25,TRUE,TRUE,0.265477760067664
"326",0,10,26,TRUE,TRUE,0.284201941060153
"327",0,10,27,TRUE,TRUE,0.268192630716669
"328",0,10,28,TRUE,TRUE,0.278207687318079
"329",0,10,29,TRUE,TRUE,0.268205278314136
"330",0,10,30,TRUE,TRUE,0.308023984836075
"331",0,11,1,TRUE,TRUE,0.313906496288194
"332",0,11,2,TRUE,TRUE,0.302850552961437
"333",0,11,3,TRUE,TRUE,0.273547672402625
"334",0,11,4,TRUE,TRUE,0.261306698428396
"335",0,11,5,TRUE,TRUE,0.247989135047679
"336",0,11,6,TRUE,TRUE,0.222968184094079
"337",0,11,7,TRUE,TRUE,0.279865085287835
"338",0,11,8,TRUE,TRUE,0.290957089141231
"339",0,11,9,TRUE,TRUE,0.267480930063257
"340",0,11,10,TRUE,TRUE,0.255564710043658
"341",0,11,11,TRUE,TRUE,0.257627580542751
"342",0,11,12,TRUE,TRUE,0.282763085985951
"343",0,11,13,TRUE,TRUE,0.241528117117091
"344",0,11,14,TRUE,TRUE,0.240530107154464
"345",0,11,15,TRUE,TRUE,0.305018744512923
"346",0,11,16,TRUE,TRUE,0.298669041230095
"347",0,11,17,TRUE,TRUE,0.255871481556897
"348",0,11,18,TRUE,TRUE,0.263462932809411
"349",0,11,19,TRUE,TRUE,0.242451387661046
"350",0,11,20,TRUE,TRUE,0.248614003638851
"351",0,11,21,TRUE,TRUE,0.259356923450874
"352",0,11,22,TRUE,TRUE,0.264769090679493
"353",0,11,23,TRUE,TRUE,0.255826419979776
"354",0,11,24,TRUE,TRUE,0.278141141032821
"355",0,11,25,TRUE,TRUE,0.278676288616962
"356",0,11,26,TRUE,TRUE,0.276434466831728
"357",0,11,27,TRUE,TRUE,0.25072952701968
"358",0,11,28,TRUE,TRUE,0.305404056621203
"359",0,11,29,TRUE,TRUE,0.25584533871722
"360",0,11,30,TRUE,TRUE,0.276369466075259
"361",0,12,1,TRUE,TRUE,0.270070997992551
"362",0,12,2,TRUE,TRUE,0.292615716730126
"363",0,12,3,TRUE,TRUE,0.2958517580619
"364",0,12,4,TRUE,TRUE,0.269101581120514
"365",0,12,5,TRUE,TRUE,0.248147698069189
"366",0,12,6,TRUE,TRUE,0.250746790378598
"367",0,12,7,TRUE,TRUE,0.324085253642406
"368",0,12,8,TRUE,TRUE,0.26662082425253
"369",0,12,9,TRUE,TRUE,0.294424571491481
"370",0,12,10,TRUE,TRUE,0.234071133534879
"371",0,12,11,TRUE,TRUE,0.254611553457481
"372",0,12,12,TRUE,TRUE,0.301688928345381
"373",0,12,13,TRUE,TRUE,0.282071702165511
"374",0,12,14,TRUE,TRUE,0.272732809429095
"375",0,12,15,TRUE,TRUE,0.28105256589805
"376",0,12,16,TRUE,TRUE,0.265177941270731
"377",0,12,17,TRUE,TRUE,0.322864740018823
"378",0,12,18,TRUE,TRUE,0.279235815273296
"379",0,12,19,TRUE,TRUE,0.276236247278783
"380",0,12,20,TRUE,TRUE,0.26042698679543
"381",0,12,21,TRUE,TRUE,0.282249433976108
"382",0,12,22,TRUE,TRUE,0.281025290163961
"383",0,12,23,TRUE,TRUE,0.304954205015258
"384",0,12,24,TRUE,TRUE,0.301929450232096
"385",0,12,25,TRUE,TRUE,0.285393403325347
"386",0,12,26,TRUE,TRUE,0.282181791638917
"387",0,12,27,TRUE,TRUE,0.301247003971727
"388",0,12,28,TRUE,TRUE,0.256239825731711
"389",0,12,29,TRUE,TRUE,0.306558621553049
"390",0,12,30,TRUE,TRUE,0.272899721262496
"391",0,13,1,TRUE,TRUE,0.306066719324268
"392",0,13,2,TRUE,TRUE,0.27498074967779
"393",0,13,3,TRUE,TRUE,0.263819338594952
"394",0,13,4,TRUE,TRUE,0.2575781649714
"395",0,13,5,TRUE,TRUE,0.277251622640641
"396",0,13,6,TRUE,TRUE,0.278742358030735
"397",0,13,7,TRUE,TRUE,0.272952611870894
"398",0,13,8,TRUE,TRUE,0.301656539514268
"399",0,13,9,TRUE,TRUE,0.268192195820489
"400",0,13,10,TRUE,TRUE,0.298596780803653
"401",0,13,11,TRUE,TRUE,0.306923598087883
"402",0,13,12,TRUE,TRUE,0.291178633073475
"403",0,13,13,TRUE,TRUE,0.290593365222514
"404",0,13,14,TRUE,TRUE,0.2895537741376
