"","int","rep","stability","oscilations","eig.mean"
"1090",10,90,FALSE,TRUE,-0.0554393045257817
"1091",10,91,FALSE,TRUE,-0.201464579391331
"1092",10,92,FALSE,TRUE,-0.028002306139997
"1093",10,93,FALSE,TRUE,-0.12134965769298
"1094",10,94,FALSE,FALSE,0.0806912911343568
"1095",10,95,FALSE,TRUE,-0.1875198603339
"1096",10,96,TRUE,TRUE,-0.199778897869711
"1097",10,97,TRUE,TRUE,-0.242631600454962
"1098",10,98,TRUE,TRUE,-0.209524821822166
"1099",10,99,FALSE,TRUE,-0.180156173333794
"1100",10,100,TRUE,TRUE,-0.196933617661389
"1101",11,1,FALSE,TRUE,-0.204392827789107
"1102",11,2,TRUE,TRUE,-0.174988878985504
"1103",11,3,TRUE,TRUE,-0.219611534650303
"1104",11,4,FALSE,TRUE,-0.109058394969122
"1105",11,5,TRUE,TRUE,-0.199321816106629
"1106",11,6,FALSE,TRUE,-0.121269969289784
"1107",11,7,FALSE,TRUE,-0.123630749154141
"1108",11,8,FALSE,TRUE,-0.152501277181429
"1109",11,9,FALSE,TRUE,-0.143080047401466
"1110",11,10,TRUE,TRUE,-0.170624900506207
"1111",11,11,FALSE,TRUE,-0.0565798871764057
"1112",11,12,FALSE,TRUE,-0.00330484989135723
"1113",11,13,FALSE,FALSE,0.0645530925186033
"1114",11,14,FALSE,TRUE,-0.120312774472131
"1115",11,15,FALSE,TRUE,-0.0869466088499242
"1116",11,16,TRUE,TRUE,-0.238158687771485
"1117",11,17,FALSE,TRUE,-0.0394995488112969
"1118",11,18,FALSE,TRUE,-0.10330658651316
"1119",11,19,FALSE,TRUE,-0.110517049100642
"1120",11,20,FALSE,TRUE,-0.0268954257789243
"1121",11,21,FALSE,TRUE,-0.0131353620526273
"1122",11,22,FALSE,TRUE,-0.163258675562099
"1123",11,23,FALSE,TRUE,-0.101227946021558
"1124",11,24,TRUE,TRUE,-0.208342014234232
"1125",11,25,FALSE,TRUE,-0.193612919984263
"1126",11,26,FALSE,TRUE,-0.166913206639829
"1127",11,27,FALSE,TRUE,0.0140631500641342
"1128",11,28,FALSE,TRUE,-0.0213704092778442
"1129",11,29,FALSE,TRUE,-0.115907412636252
"1130",11,30,FALSE,TRUE,-0.205108719964615
"1131",11,31,FALSE,TRUE,-0.104721953278627
"1132",11,32,FALSE,TRUE,0.0382684240754631
"1133",11,33,TRUE,TRUE,-0.1967947198799
"1134",11,34,FALSE,TRUE,-0.0701195249031592
"1135",11,35,FALSE,TRUE,-0.213461560167148
"1136",11,36,FALSE,TRUE,-0.250660371177264
"1137",11,37,FALSE,TRUE,-0.128934342930703
"1138",11,38,FALSE,TRUE,-0.0233886356653804
"1139",11,39,TRUE,TRUE,-0.155679904874943
"1140",11,40,TRUE,TRUE,-0.208463791932586
"1141",11,41,FALSE,TRUE,-0.091127359831895
"1142",11,42,FALSE,TRUE,0.0106699585430425
"1143",11,43,FALSE,TRUE,-0.18370581915341
"1144",11,44,TRUE,TRUE,-0.186742559969079
"1145",11,45,TRUE,TRUE,-0.229420667322128
"1146",11,46,FALSE,TRUE,0.0280604743247967
"1147",11,47,FALSE,TRUE,-0.175760314151642
"1148",11,48,TRUE,TRUE,-0.186015729632273
"1149",11,49,TRUE,TRUE,-0.191566620945062
"1150",11,50,FALSE,TRUE,-0.0544143251556243
"1151",11,51,FALSE,TRUE,-0.172544575638012
"1152",11,52,TRUE,TRUE,-0.159710761228192
"1153",11,53,TRUE,TRUE,-0.198253004265145
"1154",11,54,FALSE,TRUE,-0.228926811421126
"1155",11,55,FALSE,TRUE,-0.0965702066653697
"1156",11,56,FALSE,TRUE,-0.0411585305361924
"1157",11,57,FALSE,TRUE,-0.0216378910092838
"1158",11,58,FALSE,TRUE,-0.124720440211529
"1159",11,59,FALSE,TRUE,-0.114073600129396
"1160",11,60,FALSE,TRUE,-0.143419452729272
"1161",11,61,FALSE,TRUE,-0.142959449037536
"1162",11,62,TRUE,TRUE,-0.176631982786683
"1163",11,63,TRUE,TRUE,-0.201532156459578
"1164",11,64,FALSE,TRUE,-0.130634659980028
"1165",11,65,TRUE,TRUE,-0.215715499685546
"1166",11,66,TRUE,TRUE,-0.197710183912306
"1167",11,67,TRUE,TRUE,-0.184985177787915
"1168",11,68,FALSE,TRUE,-0.164655598384352
"1169",11,69,FALSE,TRUE,-0.227621655181647
"1170",11,70,FALSE,TRUE,-0.0953246644387608
"1171",11,71,FALSE,TRUE,-0.131576401029778
"1172",11,72,FALSE,TRUE,-0.136338233685773
"1173",11,73,FALSE,TRUE,-0.0318187293540991
"1174",11,74,FALSE,TRUE,-0.246280641008432
"1175",11,75,TRUE,TRUE,-0.190661105686834
"1176",11,76,FALSE,TRUE,-0.00901182058852394
"1177",11,77,TRUE,TRUE,-0.208893828072311
"1178",11,78,FALSE,TRUE,-0.0978256105652352
"1179",11,79,FALSE,TRUE,-0.207292643991299
"1180",11,80,FALSE,TRUE,-0.14886856654659
"1181",11,81,FALSE,TRUE,-0.106025977840519
"1182",11,82,FALSE,TRUE,-0.165412797072769
"1183",11,83,FALSE,TRUE,-0.175573438835473
"1184",11,84,FALSE,TRUE,-0.177119098060306
"1185",11,85,FALSE,TRUE,-0.117362065346198
"1186",11,86,FALSE,TRUE,-0.172676884488417
"1187",11,87,FALSE,TRUE,-0.119795161637045
"1188",11,88,FALSE,TRUE,-0.132064593483634
"1189",11,89,FALSE,TRUE,-0.129540901025103
"1190",11,90,FALSE,TRUE,-0.23789936755227
"1191",11,91,FALSE,TRUE,-0.175520887429772
"1192",11,92,FALSE,TRUE,-0.0267407488854033
"1193",11,93,FALSE,TRUE,-0.119191239521293
"1194",11,94,FALSE,TRUE,-0.0544509718484429
"1195",11,95,FALSE,TRUE,-0.0294572726372724
"1196",11,96,FALSE,TRUE,-0.111305086054858
"1197",11,97,TRUE,TRUE,-0.177535023511731
"1198",11,98,FALSE,TRUE,-0.14954713923063
"1199",11,99,FALSE,TRUE,-0.0172448144952396
"1200",11,100,FALSE,TRUE,-0.157358300899076
"1201",12,1,TRUE,TRUE,-0.167272396508198
"1202",12,2,FALSE,TRUE,-0.0512554415398647
"1203",12,3,TRUE,TRUE,-0.20478727290355
"1204",12,4,TRUE,TRUE,-0.226522993127472
"1205",12,5,FALSE,TRUE,-0.0319176216881036
"1206",12,6,FALSE,TRUE,-0.0980737102378649
"1207",12,7,FALSE,TRUE,-0.190029122336137
"1208",12,8,FALSE,TRUE,-0.0870230979490646
"1209",12,9,FALSE,TRUE,-0.0140774094784259
"1210",12,10,FALSE,TRUE,-0.022617830145395
"1211",12,11,FALSE,TRUE,-0.0793165943063776
"1212",12,12,TRUE,TRUE,-0.204534131460741
"1213",12,13,FALSE,TRUE,-0.00190123603281198
"1214",12,14,TRUE,TRUE,-0.184229612844274
"1215",12,15,FALSE,TRUE,-0.201866820500567
"1216",12,16,FALSE,TRUE,-0.130247074112351
"1217",12,17,FALSE,TRUE,-0.18294614508703
"1218",12,18,TRUE,TRUE,-0.195008480136602
"1219",12,19,TRUE,TRUE,-0.19789269702603
"1220",12,20,FALSE,TRUE,-0.0558630302742106
"1221",12,21,FALSE,TRUE,-0.184661287046991
"1222",12,22,FALSE,TRUE,-0.0334157788717868
"1223",12,23,TRUE,TRUE,-0.170151274364274
"1224",12,24,FALSE,TRUE,-0.194059886621148
"1225",12,25,FALSE,TRUE,-0.0559250535762774
"1226",12,26,FALSE,TRUE,-0.168770299857662
"1227",12,27,FALSE,TRUE,-0.0911415477118395
"1228",12,28,FALSE,TRUE,-0.0900031208529441
"1229",12,29,TRUE,TRUE,-0.180601741851607
"1230",12,30,TRUE,TRUE,-0.209353369313844
"1231",12,31,FALSE,TRUE,-0.17276901657271
"1232",12,32,TRUE,TRUE,-0.189499871918225
"1233",12,33,FALSE,TRUE,-0.0867092845616189
"1234",12,34,FALSE,TRUE,0.0813181126480945
"1235",12,35,FALSE,TRUE,-0.155549186485053
"1236",12,36,TRUE,TRUE,-0.204988720034926
"1237",12,37,FALSE,TRUE,-0.0792977473583941
"1238",12,38,FALSE,TRUE,-0.154431286051724
"1239",12,39,FALSE,FALSE,-0.0449412095999457
"1240",12,40,FALSE,TRUE,-0.0761723626070772
"1241",12,41,FALSE,TRUE,-0.0951910045832979
"1242",12,42,FALSE,TRUE,-0.214543667905219
"1243",12,43,TRUE,TRUE,-0.185718918848215
"1244",12,44,FALSE,TRUE,-0.0763714643084721
"1245",12,45,FALSE,TRUE,-0.0197557191058501
"1246",12,46,TRUE,TRUE,-0.198337377244231
"1247",12,47,FALSE,TRUE,-0.169276660109973
"1248",12,48,TRUE,TRUE,-0.191803329558759
"1249",12,49,FALSE,TRUE,-0.161836652838057
"1250",12,50,TRUE,TRUE,-0.193968821426914
"1251",12,51,FALSE,TRUE,-0.175620635191098
"1252",12,52,TRUE,TRUE,-0.193312059033942
"1253",12,53,TRUE,TRUE,-0.206500558961311
"1254",12,54,TRUE,TRUE,-0.178437302214931
"1255",12,55,FALSE,TRUE,-0.0713811280579891
"1256",12,56,TRUE,TRUE,-0.17624671623799
"1257",12,57,FALSE,TRUE,-0.0980610821511818
"1258",12,58,FALSE,TRUE,-0.0926327647655172
"1259",12,59,TRUE,TRUE,-0.19838458085441
"1260",12,60,FALSE,TRUE,-0.0450971957542056
"1261",12,61,FALSE,TRUE,-0.176503332846109
"1262",12,62,FALSE,TRUE,-0.0529545002907832
"1263",12,63,FALSE,TRUE,-0.0757566873326418
"1264",12,64,FALSE,FALSE,0.0272601228011206
"1265",12,65,FALSE,TRUE,-0.0928209437369057
"1266",12,66,TRUE,TRUE,-0.205721486596689
"1267",12,67,TRUE,TRUE,-0.220631560705722
"1268",12,68,FALSE,TRUE,-0.223681479755845
"1269",12,69,FALSE,TRUE,-0.198811854053726
"1270",12,70,FALSE,TRUE,-0.0465865068909171
"1271",12,71,TRUE,TRUE,-0.21451823060096
"1272",12,72,FALSE,TRUE,-0.0103492230600417
"1273",12,73,FALSE,TRUE,-0.108160749606974
"1274",12,74,FALSE,TRUE,-0.190994422760825
"1275",12,75,TRUE,TRUE,-0.215211529585168
"1276",12,76,FALSE,TRUE,-0.166258652391654
"1277",12,77,FALSE,TRUE,-0.128776730586486
"1278",12,78,FALSE,TRUE,-0.177320790630854
"1279",12,79,TRUE,TRUE,-0.207713443737934
"1280",12,80,FALSE,TRUE,-0.0806704451434367
"1281",12,81,FALSE,TRUE,-0.196269143807859
"1282",12,82,FALSE,TRUE,-0.0220053325199642
"1283",12,83,FALSE,TRUE,-0.0676248529978061
"1284",12,84,TRUE,TRUE,-0.196399228410638
"1285",12,85,FALSE,TRUE,-0.0201069086935672
"1286",12,86,FALSE,TRUE,0.0241039476934269
"1287",12,87,FALSE,TRUE,-0.0284281871994364
"1288",12,88,FALSE,TRUE,-0.119255251956654
"1289",12,89,FALSE,TRUE,-0.212790981431352
"1290",12,90,FALSE,TRUE,-0.189992179024222
"1291",12,91,FALSE,TRUE,-0.0667073594498679
"1292",12,92,TRUE,TRUE,-0.197597497057026
"1293",12,93,FALSE,TRUE,-0.165769420574898
"1294",12,94,FALSE,TRUE,-0.111302825584933
"1295",12,95,FALSE,TRUE,-0.178220248633264
"1296",12,96,FALSE,TRUE,-0.0752321272472334
"1297",12,97,FALSE,TRUE,0.0293152147943617
"1298",12,98,FALSE,TRUE,-0.0622876715801608
"1299",12,99,FALSE,TRUE,-0.0927243884378302
"1300",12,100,FALSE,TRUE,-0.0950270276257532
"1301",13,1,TRUE,TRUE,-0.220161789228881
"1302",13,2,FALSE,TRUE,-0.106731080073768
"1303",13,3,FALSE,TRUE,-0.07491522916722
"1304",13,4,TRUE,TRUE,-0.169059339006947
"1305",13,5,TRUE,TRUE,-0.195849008243563
"1306",13,6,FALSE,TRUE,-0.184889061607467
"1307",13,7,FALSE,TRUE,-0.105910556358337
"1308",13,8,FALSE,TRUE,-0.0532976955321187
"1309",13,9,FALSE,TRUE,-0.151615662826238
"1310",13,10,FALSE,TRUE,-0.0598278114250662
"1311",13,11,TRUE,TRUE,-0.163843659138069
"1312",13,12,FALSE,TRUE,-0.0330526697103995
"1313",13,13,TRUE,TRUE,-0.188123590941162
"1314",13,14,TRUE,TRUE,-0.178709702430692
"1315",13,15,FALSE,TRUE,-0.16453462498089
"1316",13,16,FALSE,TRUE,0.00314456271395064
"1317",13,17,FALSE,TRUE,-0.173487722220398
"1318",13,18,TRUE,TRUE,-0.198005982456021
"1319",13,19,FALSE,TRUE,-0.023383133836567
"1320",13,20,TRUE,TRUE,-0.196451722314275
"1321",13,21,FALSE,TRUE,-0.179553824903598
"1322",13,22,FALSE,TRUE,-0.0902474355552295
"1323",13,23,FALSE,TRUE,-0.103184387382906
"1324",13,24,FALSE,TRUE,-0.046359043741287
"1325",13,25,FALSE,TRUE,-0.117541007392067
"1326",13,26,TRUE,TRUE,-0.174664153117394
"1327",13,27,FALSE,TRUE,-0.111594319116873
"1328",13,28,FALSE,TRUE,-0.0569309822409588
"1329",13,29,FALSE,TRUE,-0.199894194531032
"1330",13,30,TRUE,TRUE,-0.188757096938165
"1331",13,31,FALSE,TRUE,-0.0921270624897515
"1332",13,32,FALSE,TRUE,-0.193856317781835
"1333",13,33,TRUE,TRUE,-0.177308912528207
"1334",13,34,FALSE,TRUE,-0.22265625046886
